x,y,y_sin_ruido,ruido
5.687411959528937189e+00,1.591068374621763937e+01,1.237482391905787438e+01,3.535859827159765878e+00
1.397969981276574458e+00,4.056489005498920442e+00,3.795939962553148916e+00,2.605490429457716917e-01
1.145300735359734423e+00,5.256080492765583756e+00,3.290601470719468846e+00,1.965479022046115132e+00
6.684029617904716503e+00,1.336946803873112799e+01,1.436805923580943301e+01,-9.985911970783041269e-01
4.710962061431325232e+00,8.052036590028601282e+00,1.042192412286265046e+01,-2.369887532834049182e+00
5.652361064811888269e+00,1.037448860515903348e+01,1.230472212962377654e+01,-1.930233524464743722e+00
7.649988574160255794e+00,1.484952501924900581e+01,1.629997714832051159e+01,-1.450452129071506446e+00
6.347183200005908077e+00,1.795130586488214419e+01,1.369436640001181615e+01,4.256939464870328926e+00
5.535794006579958015e+00,1.042881465471114311e+01,1.207158801315991603e+01,-1.642773358448772258e+00
5.592071607454135673e+00,1.386112162238096168e+01,1.218414321490827135e+01,1.676978407472689891e+00
3.039500980626121951e+00,5.273147605078190914e+00,7.079001961252243902e+00,-1.805854356174052766e+00
3.081783456793940612e-01,3.479502717107276322e+00,1.616356691358788122e+00,1.863146025748488199e+00
4.367173892323624074e+00,1.050424971685897368e+01,9.734347784647248147e+00,7.699019322117263142e-01
2.145846728195292208e+00,4.978417661074403533e+00,5.291693456390584416e+00,-3.132757953161808273e-01
4.085286437246361757e+00,9.089047822221855810e+00,9.170572874492723514e+00,-8.152505227086805084e-02
8.534030732681660680e+00,1.675848607450453898e+01,1.806806146536332136e+01,-1.309575390858780830e+00
2.339394858653407461e+00,6.570934120270975676e+00,5.678789717306814921e+00,8.921444029641610873e-01
5.830274168906601773e-01,1.256087873099760444e+00,2.166054833781320355e+00,-9.099669606815600220e-01
2.813838920219965622e+00,4.176466312905434464e+00,6.627677840439931245e+00,-2.451211527534496337e+00
2.935937577666836162e+00,4.316000006694434177e+00,6.871875155333672325e+00,-2.555875148639238592e+00
6.619165147268950555e+00,1.458350612998214046e+01,1.423833029453790111e+01,3.451758354442389654e-01
5.570321523412783193e+00,1.529882555964643664e+01,1.214064304682556639e+01,3.158182512820869814e+00
7.838982091064135460e+00,1.699794740927514880e+01,1.667796418212827092e+01,3.199832271468764922e-01
6.643135403273875639e+00,1.404899415432798548e+01,1.428627080654775128e+01,-2.372766522197651273e-01
4.063868614400705681e+00,9.699389508006497351e+00,9.127737228801411362e+00,5.716522792050857671e-01
8.140203846660346798e+00,1.989241117673434189e+01,1.728040769332069360e+01,2.612003483413649629e+00
1.669729199077039095e+00,4.778223400881790539e+00,4.339458398154078189e+00,4.387650027277126830e-01
2.271207313386047755e-01,6.323870010097352168e-01,1.454241462677209551e+00,-8.218544616674743342e-01
9.004786077564175262e-01,5.013534635632613146e+00,2.800957215512835052e+00,2.212577420119777649e+00
7.223593505964503336e+00,1.630469988885223387e+01,1.544718701192900667e+01,8.575128769232269743e-01
4.618772302513873385e+00,1.330905658901973077e+01,1.023754460502774677e+01,3.071511983991983996e+00
1.612717790336017920e+00,4.591904455115848549e+00,4.225435580672035840e+00,3.664688744438122647e-01
5.010447751033635377e+00,8.571957438626270687e+00,1.102089550206727075e+01,-2.448938063441000512e+00
1.523121027131684180e+00,1.309923655772038398e+00,4.046242054263368360e+00,-2.736318398491329962e+00
6.963203750777360312e+00,1.822826336601722019e+01,1.492640750155472062e+01,3.301855864462499124e+00
4.461562755740306585e+00,1.337045695304720638e+01,9.923125511480613170e+00,3.447331441566594101e+00
3.810212260964824793e+00,8.261386095364448678e+00,8.620424521929649586e+00,-3.590384265652012963e-01
3.015120891478765053e+00,6.263867140685555057e+00,7.030241782957530106e+00,-7.663746422719754925e-01
6.302825931188884567e+00,1.652854044686217350e+01,1.360565186237776913e+01,2.922888584484404362e+00
3.618126105533904457e+00,6.022160846980833426e+00,8.236252211067808915e+00,-2.214091364086975933e+00
8.764991931610099929e-01,9.635443484103671796e-01,2.752998386322019986e+00,-1.789454037911652806e+00
1.180059021205153158e+00,4.646771631788395140e+00,3.360118042410306316e+00,1.286653589378088824e+00
9.618976645495145306e+00,1.944874304527111164e+01,2.023795329099029061e+01,-7.892102457191791931e-01
