capa,tipo,origen,destino,valor
1,peso,ash,h14,-0.36404968833332346
1,peso,ash,h15,-0.9119734645418839
1,peso,ash,h16,-0.30129275621008433
1,peso,alcalinity_of_ash,h1,0.08834676767489819
1,peso,alcalinity_of_ash,h2,0.5507968191718717
1,peso,alcalinity_of_ash,h3,-0.7202763036539229
1,peso,alcalinity_of_ash,h4,-0.5181249641093477
1,peso,alcalinity_of_ash,h5,0.24920061951719857
1,peso,alcalinity_of_ash,h6,0.9422933048753008
1,peso,alcalinity_of_ash,h7,-0.534643179229041
1,peso,alcalinity_of_ash,h8,-0.5777850172533711
1,peso,alcalinity_of_ash,h9,-0.7080008863879005
1,peso,alcalinity_of_ash,h10,0.5370504893455341
1,peso,alcalinity_of_ash,h11,0.44283144125353124
1,peso,alcalinity_of_ash,h12,-0.6683805797145707
1,peso,alcalinity_of_ash,h13,-0.07197884181273623
1,peso,alcalinity_of_ash,h14,0.8470539136833127
1,peso,alcalinity_of_ash,h15,0.7537445382454797
1,peso,alcalinity_of_ash,h16,0.5867662700844914
1,peso,magnesium,h1,0.23023060653084923
1,peso,magnesium,h2,-0.23144904887479814
1,peso,magnesium,h3,0.10659604149564963
1,peso,magnesium,h4,0.33801900680386854
1,peso,magnesium,h5,0.009417146587162844
1,peso,magnesium,h6,0.014685604693703296
1,peso,magnesium,h7,0.6441829857148395
1,peso,magnesium,h8,0.18752215833094346
1,peso,magnesium,h9,-0.40216360490143716
1,peso,magnesium,h10,-0.14365636936228132
1,peso,magnesium,h11,0.04503190014608813
1,peso,magnesium,h12,0.5078037338354403
1,peso,magnesium,h13,-0.09728512162915899
1,peso,magnesium,h14,-0.20274107533745686
1,peso,magnesium,h15,-0.26251157606763575
1,peso,magnesium,h16,-0.49386840680360516
1,peso,total_phenols,h1,0.039357299662203346
1,peso,total_phenols,h2,-0.2016525197645793
1,peso,total_phenols,h3,0.10236392763465929
1,peso,total_phenols,h4,0.18680642486722504
1,peso,total_phenols,h5,-0.0350581321932698
1,peso,total_phenols,h6,-0.31141898021618597
1,peso,total_phenols,h7,0.3944810419083024
1,peso,total_phenols,h8,0.26408675318766267
1,peso,total_phenols,h9,0.3908190348809469
1,peso,total_phenols,h10,-0.2440667537603668
1,peso,total_phenols,h11,-0.5026312866684566
1,peso,total_phenols,h12,0.345938982449036
1,peso,total_phenols,h13,0.19781290205539917
1,peso,total_phenols,h14,-0.14816586167821605
1,peso,total_phenols,h15,-0.03468483976454519
1,peso,total_phenols,h16,-0.33748020879454016
1,peso,flavanoids,h1,-0.5194703171239065
1,peso,flavanoids,h2,0.006249293083688161
1,peso,flavanoids,h3,-0.0442643768408882
1,peso,flavanoids,h4,-0.45439254814081986
1,peso,flavanoids,h5,-0.8024795569056603
1,peso,flavanoids,h6,-0.31648530565450833
1,peso,flavanoids,h7,0.38831220187793913
1,peso,flavanoids,h8,-0.10272204744543918
1,peso,flavanoids,h9,0.7788442600690687
1,peso,flavanoids,h10,0.1265601689171096
1,peso,flavanoids,h11,-0.5785675495444792
1,peso,flavanoids,h12,0.59950432612261
1,peso,flavanoids,h13,0.44128282936721386
1,peso,flavanoids,h14,-0.8652588756508016
1,peso,flavanoids,h15,0.23515328852959216
1,peso,flavanoids,h16,-0.7413304868361156
1,peso,nonflavanoid_phenols,h1,0.08747378330672595
1,peso,nonflavanoid_phenols,h2,0.17691411651590153
1,peso,nonflavanoid_phenols,h3,0.003806350702279815
1,peso,nonflavanoid_phenols,h4,-0.07228124674170393
1,peso,nonflavanoid_phenols,h5,-0.03791282954931471
1,peso,nonflavanoid_phenols,h6,-0.11368485775285843
1,peso,nonflavanoid_phenols,h7,-0.10494697294375283
1,peso,nonflavanoid_phenols,h8,-0.03643216487110064
1,peso,nonflavanoid_phenols,h9,0.3091763367329804
1,peso,nonflavanoid_phenols,h10,0.1580025038989315
1,peso,nonflavanoid_phenols,h11,0.08259005881071772
1,peso,nonflavanoid_phenols,h12,-0.3312485746326079
1,peso,nonflavanoid_phenols,h13,-0.03946082766772866
1,peso,nonflavanoid_phenols,h14,-0.16927691222096222
1,peso,nonflavanoid_phenols,h15,0.12657575984268502
1,peso,nonflavanoid_phenols,h16,0.2635080635306782
1,peso,proanthocyanins,h1,-0.6524922653109115
1,peso,proanthocyanins,h2,0.535134759990027
1,peso,proanthocyanins,h3,-0.49900602355376567
1,peso,proanthocyanins,h4,-0.5207388698916614
1,peso,proanthocyanins,h5,-0.35234954649552425
1,peso,proanthocyanins,h6,0.1522119107035919
1,peso,proanthocyanins,h7,0.2382352896368508
1,peso,proanthocyanins,h8,-0.5661974034220717
1,peso,proanthocyanins,h9,0.16535630883202557
1,peso,proanthocyanins,h10,0.5606994506791925
1,peso,proanthocyanins,h11,-0.016377764564380365
1,peso,proanthocyanins,h12,0.2865394465767443
1,peso,proanthocyanins,h13,0.5374337827049149
1,peso,proanthocyanins,h14,0.38528801640462995
1,peso,proanthocyanins,h15,0.5587563508074889
1,peso,proanthocyanins,h16,0.0661418371455056
1,peso,color_intensity,h1,0.5497366316100417
1,peso,color_intensity,h2,-1.0956627421299223
1,peso,color_intensity,h3,1.0002333134865231
1,peso,color_intensity,h4,0.7362165469528996
1,peso,color_intensity,h5,0.4086852639535856
1,peso,color_intensity,h6,-0.6979756205305405
1,peso,color_intensity,h7,-0.24972569376460713
1,peso,color_intensity,h8,0.6055992205238081
1,peso,color_intensity,h9,-0.7401491758898967
1,peso,color_intensity,h10,-0.7352424217342854
1,peso,color_intensity,h11,0.4530086887342154
1,peso,color_intensity,h12,-0.5676944276458861
1,peso,color_intensity,h13,-0.5310238175112841
1,peso,color_intensity,h14,-0.28275509550026395
1,peso,color_intensity,h15,-0.9539635516323783
1,peso,color_intensity,h16,0.010823318438841028
1,peso,hue,h1,-0.6765747435581425
1,peso,hue,h2,0.837847085791034
1,peso,hue,h3,-0.629159198873975
1,peso,hue,h4,-0.6730178929511449
1,peso,hue,h5,-0.7847058367713976
1,peso,hue,h6,0.2548143488817452
1,peso,hue,h7,0.268422183884172
1,peso,hue,h8,-0.8748817902633944
1,peso,hue,h9,0.23432205896499977
1,peso,hue,h10,0.759820626624318
1,peso,hue,h11,-0.19544156688443487
1,peso,hue,h12,0.10485782292868076
1,peso,hue,h13,0.5977405327440297
1,peso,hue,h14,0.013479915014147062
1,peso,hue,h15,0.822713146494266
1,peso,hue,h16,-0.47127083012409743
1,peso,od280/od315_of_diluted_wines,h1,-0.28634463977572244
1,peso,od280/od315_of_diluted_wines,h2,-0.03706987849343996
1,peso,od280/od315_of_diluted_wines,h3,0.37325584655763505
1,peso,od280/od315_of_diluted_wines,h4,-0.2651304637203164
1,peso,od280/od315_of_diluted_wines,h5,-0.4131564373066014
1,peso,od280/od315_of_diluted_wines,h6,-0.5895162577061753
1,peso,od280/od315_of_diluted_wines,h7,0.6921477508298014
1,peso,od280/od315_of_diluted_wines,h8,0.006570663465967561
1,peso,od280/od315_of_diluted_wines,h9,0.25116139967653306
1,peso,od280/od315_of_diluted_wines,h10,0.24026066027222426
1,peso,od280/od315_of_diluted_wines,h11,-0.3211572057315025
1,peso,od280/od315_of_diluted_wines,h12,0.47243015287934065
1,peso,od280/od315_of_diluted_wines,h13,0.39447960899121715
1,peso,od280/od315_of_diluted_wines,h14,-0.7078305341290465
1,peso,od280/od315_of_diluted_wines,h15,-0.03999761100472439
1,peso,od280/od315_of_diluted_wines,h16,-0.38561171614833645
1,peso,proline,h1,0.5227152046479888
1,peso,proline,h2,-0.746607098520242
1,peso,proline,h3,0.8152837238453249
1,peso,proline,h4,0.8493356115473332
1,peso,proline,h5,0.5386532408519122
1,peso,proline,h6,-0.4816923987459956
1,peso,proline,h7,0.785162013514233
1,peso,proline,h8,0.9680241806506251
1,peso,proline,h9,0.35684134665633693
1,peso,proline,h10,-1.0216046564522834
1,peso,proline,h11,-0.7998392322086402
1,peso,proline,h12,0.880299733351387
1,peso,proline,h13,-0.3614811407594701
1,peso,proline,h14,-0.9941204922576287
1,peso,proline,h15,-1.195683805884211
1,peso,proline,h16,-0.5597820873733342
1,sesgo,1,h1,-0.8084990214750343
1,sesgo,1,h2,-0.33550626787715726
1,sesgo,1,h3,0.33732493425297966
1,sesgo,1,h4,-0.1759677443972544
1,sesgo,1,h5,-0.8871573933302644
1,sesgo,1,h6,0.012260504725693993
1,sesgo,1,h7,0.12889716296524464
1,sesgo,1,h8,0.27723368358728434
1,sesgo,1,h9,0.6643792507190658
1,sesgo,1,h10,-0.17274862915955702
1,sesgo,1,h11,0.24052542149944062
1,sesgo,1,h12,0.14899953562843835
1,sesgo,1,h13,0.8230932185611031
1,sesgo,1,h14,0.5046033752839354
1,sesgo,1,h15,-0.36407529621997003
1,sesgo,1,h16,0.20314195949876762
2,peso,h1,clase_0,-0.23517959859541
2,peso,h1,clase_1,-0.7861369994424828
2,peso,h1,clase_2,0.9448629988075794
2,peso,h2,clase_0,-0.4076192758529307
2,peso,h2,clase_1,0.9266557081405572
2,peso,h2,clase_2,-0.5236010996678069
2,peso,h3,clase_0,0.873783913114454
2,peso,h3,clase_1,-0.8283840855824403
2,peso,h3,clase_2,0.29934885324177807
2,peso,h4,clase_0,0.2361007497967536
2,peso,h4,clase_1,-0.9644410054404061
2,peso,h4,clase_2,0.6986210192132165
2,peso,h5,clase_0,-0.5354645832413688
2,peso,h5,clase_1,-0.7128455514739404
2,peso,h5,clase_2,0.6753544471535521
2,peso,h6,clase_0,-0.9747395369812215
2,peso,h6,clase_1,0.8825965154581291
2,peso,h6,clase_2,0.25493366165294756
2,peso,h7,clase_0,0.8939664707349174
2,peso,h7,clase_1,-0.35110927018071497
2,peso,h7,clase_2,-0.9935009861054616
2,peso,h8,clase_0,0.9570138526267751
2,peso,h8,clase_1,-0.9495098010248353
2,peso,h8,clase_2,0.8085566608761385
2,peso,h9,clase_0,0.9157709455577395
2,peso,h9,clase_1,0.2694155863126016
2,peso,h9,clase_2,-0.94460717546342
2,peso,h10,clase_0,-0.46491609829279146
2,peso,h10,clase_1,0.9227436207819971
2,peso,h10,clase_2,-0.7494414424890115
2,peso,h11,clase_0,-0.957848087940497
2,peso,h11,clase_1,0.2874040345600079
2,peso,h11,clase_2,0.6572910880860975
2,peso,h12,clase_0,0.7248685649243576
2,peso,h12,clase_1,-0.2572116167364735
2,peso,h12,clase_2,-0.9718208951253688
2,peso,h13,clase_0,0.42060551029200044
2,peso,h13,clase_1,0.644865030445061
2,peso,h13,clase_2,-1.0387774554174263
2,peso,h14,clase_0,-0.8026611393418025
2,peso,h14,clase_1,0.6973574874899935
2,peso,h14,clase_2,0.45676224631697515
2,peso,h15,clase_0,-0.5379474717928279
2,peso,h15,clase_1,0.9515774198430426
2,peso,h15,clase_2,-0.7962608079791677
2,peso,h16,clase_0,-0.8895919162356485
2,peso,h16,clase_1,0.4362605724147435
2,peso,h16,clase_2,0.5806983811603929
2,sesgo,1,clase_0,0.40257901848670935
2,sesgo,1,clase_1,0.1732231508606115
2,sesgo,1,clase_2,-0.0476909755874643
