particion,indice_iris,Longitud del sépalo (cm),Ancho del sépalo (cm),Longitud del pétalo (cm),Ancho del pétalo (cm),clase_real,LDA,K-NN (k=3),Árbol de decisión
60/40,22,4.6,3.6,1.0,0.2,Setosa,Setosa,Setosa,Setosa
60/40,108,6.7,2.5,5.8,1.8,Virginica,Virginica,Virginica,Virginica
60/40,11,4.8,3.4,1.6,0.2,Setosa,Setosa,Setosa,Setosa
60/40,55,5.7,2.8,4.5,1.3,Versicolor,Versicolor,Versicolor,Versicolor
60/40,7,5.0,3.4,1.5,0.2,Setosa,Setosa,Setosa,Setosa
60/40,147,6.5,3.0,5.2,2.0,Virginica,Virginica,Virginica,Virginica
60/40,56,6.3,3.3,4.7,1.6,Versicolor,Versicolor,Versicolor,Versicolor
60/40,144,6.7,3.3,5.7,2.5,Virginica,Virginica,Virginica,Virginica
60/40,66,5.6,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
60/40,63,6.1,2.9,4.7,1.4,Versicolor,Versicolor,Versicolor,Versicolor
60/40,67,5.8,2.7,4.1,1.0,Versicolor,Versicolor,Versicolor,Versicolor
60/40,87,6.3,2.3,4.4,1.3,Versicolor,Versicolor,Versicolor,Versicolor
60/40,53,5.5,2.3,4.0,1.3,Versicolor,Versicolor,Versicolor,Versicolor
60/40,10,5.4,3.7,1.5,0.2,Setosa,Setosa,Setosa,Setosa
60/40,29,4.7,3.2,1.6,0.2,Setosa,Setosa,Setosa,Setosa
60/40,138,6.0,3.0,4.8,1.8,Virginica,Virginica,Virginica,Virginica
60/40,14,5.8,4.0,1.2,0.2,Setosa,Setosa,Setosa,Setosa
60/40,75,6.6,3.0,4.4,1.4,Versicolor,Versicolor,Versicolor,Versicolor
60/40,58,6.6,2.9,4.6,1.3,Versicolor,Versicolor,Versicolor,Versicolor
60/40,57,4.9,2.4,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
60/40,102,7.1,3.0,5.9,2.1,Virginica,Virginica,Virginica,Virginica
60/40,140,6.7,3.1,5.6,2.4,Virginica,Virginica,Virginica,Virginica
60/40,43,5.0,3.5,1.6,0.6,Setosa,Setosa,Setosa,Setosa
60/40,84,5.4,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
60/40,38,4.4,3.0,1.3,0.2,Setosa,Setosa,Setosa,Setosa
60/40,28,5.2,3.4,1.4,0.2,Setosa,Setosa,Setosa,Setosa
70/30,107,7.3,2.9,6.3,1.8,Virginica,Virginica,Virginica,Virginica
70/30,63,6.1,2.9,4.7,1.4,Versicolor,Versicolor,Versicolor,Versicolor
70/30,133,6.3,2.8,5.1,1.5,Virginica,Versicolor,Versicolor,Virginica
70/30,56,6.3,3.3,4.7,1.6,Versicolor,Versicolor,Versicolor,Virginica
70/30,127,6.1,3.0,4.9,1.8,Virginica,Virginica,Virginica,Virginica
70/30,140,6.7,3.1,5.6,2.4,Virginica,Virginica,Virginica,Virginica
70/30,53,5.5,2.3,4.0,1.3,Versicolor,Versicolor,Versicolor,Versicolor
70/30,69,5.6,2.5,3.9,1.1,Versicolor,Versicolor,Versicolor,Versicolor
70/30,20,5.4,3.4,1.7,0.2,Setosa,Setosa,Setosa,Setosa
70/30,141,6.9,3.1,5.1,2.3,Virginica,Virginica,Virginica,Virginica
70/30,14,5.8,4.0,1.2,0.2,Setosa,Setosa,Setosa,Setosa
70/30,38,4.4,3.0,1.3,0.2,Setosa,Setosa,Setosa,Setosa
70/30,108,6.7,2.5,5.8,1.8,Virginica,Virginica,Virginica,Virginica
70/30,116,6.5,3.0,5.5,1.8,Virginica,Virginica,Virginica,Virginica
70/30,28,5.2,3.4,1.4,0.2,Setosa,Setosa,Setosa,Setosa
70/30,148,6.2,3.4,5.4,2.3,Virginica,Virginica,Virginica,Virginica
70/30,57,4.9,2.4,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
70/30,10,5.4,3.7,1.5,0.2,Setosa,Setosa,Setosa,Setosa
70/30,23,5.1,3.3,1.7,0.5,Setosa,Setosa,Setosa,Setosa
70/30,18,5.7,3.8,1.7,0.3,Setosa,Setosa,Setosa,Setosa
70/30,97,6.2,2.9,4.3,1.3,Versicolor,Versicolor,Versicolor,Versicolor
70/30,7,5.0,3.4,1.5,0.2,Setosa,Setosa,Setosa,Setosa
70/30,75,6.6,3.0,4.4,1.4,Versicolor,Versicolor,Versicolor,Versicolor
70/30,104,6.5,3.0,5.8,2.2,Virginica,Virginica,Virginica,Virginica
70/30,138,6.0,3.0,4.8,1.8,Virginica,Virginica,Versicolor,Virginica
70/30,51,6.4,3.2,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
70/30,84,5.4,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
70/30,93,5.0,2.3,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
70/30,66,5.6,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
70/30,35,5.0,3.2,1.2,0.2,Setosa,Setosa,Setosa,Setosa
70/30,134,6.1,2.6,5.6,1.4,Virginica,Virginica,Versicolor,Virginica
70/30,132,6.4,2.8,5.6,2.2,Virginica,Virginica,Virginica,Virginica
70/30,85,6.0,3.4,4.5,1.6,Versicolor,Versicolor,Versicolor,Virginica
70/30,49,5.0,3.3,1.4,0.2,Setosa,Setosa,Setosa,Setosa
70/30,111,6.4,2.7,5.3,1.9,Virginica,Virginica,Virginica,Virginica
70/30,40,5.0,3.5,1.3,0.3,Setosa,Setosa,Setosa,Setosa
70/30,42,4.4,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
70/30,2,4.7,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
70/30,43,5.0,3.5,1.6,0.6,Setosa,Setosa,Setosa,Setosa
70/30,77,6.7,3.0,5.0,1.7,Versicolor,Versicolor,Versicolor,Virginica
70/30,55,5.7,2.8,4.5,1.3,Versicolor,Versicolor,Versicolor,Versicolor
70/30,22,4.6,3.6,1.0,0.2,Setosa,Setosa,Setosa,Setosa
70/30,106,4.9,2.5,4.5,1.7,Virginica,Virginica,Versicolor,Virginica
70/30,147,6.5,3.0,5.2,2.0,Virginica,Virginica,Virginica,Virginica
70/30,58,6.6,2.9,4.6,1.3,Versicolor,Versicolor,Versicolor,Versicolor
80/20,38,4.4,3.0,1.3,0.2,Setosa,Setosa,Setosa,Setosa
80/20,127,6.1,3.0,4.9,1.8,Virginica,Virginica,Virginica,Virginica
80/20,57,4.9,2.4,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
80/20,93,5.0,2.3,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
80/20,42,4.4,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
80/20,56,6.3,3.3,4.7,1.6,Versicolor,Versicolor,Versicolor,Versicolor
80/20,22,4.6,3.6,1.0,0.2,Setosa,Setosa,Setosa,Setosa
80/20,20,5.4,3.4,1.7,0.2,Setosa,Setosa,Setosa,Setosa
80/20,147,6.5,3.0,5.2,2.0,Virginica,Virginica,Virginica,Virginica
80/20,84,5.4,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
80/20,107,7.3,2.9,6.3,1.8,Virginica,Virginica,Virginica,Virginica
80/20,141,6.9,3.1,5.1,2.3,Virginica,Virginica,Virginica,Virginica
80/20,104,6.5,3.0,5.8,2.2,Virginica,Virginica,Virginica,Virginica
80/20,51,6.4,3.2,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
80/20,7,5.0,3.4,1.5,0.2,Setosa,Setosa,Setosa,Setosa
80/20,49,5.0,3.3,1.4,0.2,Setosa,Setosa,Setosa,Setosa
80/20,14,5.8,4.0,1.2,0.2,Setosa,Setosa,Setosa,Setosa
80/20,69,5.6,2.5,3.9,1.1,Versicolor,Versicolor,Versicolor,Versicolor
80/20,63,6.1,2.9,4.7,1.4,Versicolor,Versicolor,Versicolor,Versicolor
80/20,138,6.0,3.0,4.8,1.8,Virginica,Virginica,Versicolor,Virginica
80/20,10,5.4,3.7,1.5,0.2,Setosa,Setosa,Setosa,Setosa
80/20,140,6.7,3.1,5.6,2.4,Virginica,Virginica,Virginica,Virginica
80/20,58,6.6,2.9,4.6,1.3,Versicolor,Versicolor,Versicolor,Versicolor
80/20,134,6.1,2.6,5.6,1.4,Virginica,Virginica,Versicolor,Versicolor
80/20,132,6.4,2.8,5.6,2.2,Virginica,Virginica,Virginica,Virginica
80/20,77,6.7,3.0,5.0,1.7,Versicolor,Versicolor,Versicolor,Virginica
80/20,75,6.6,3.0,4.4,1.4,Versicolor,Versicolor,Versicolor,Versicolor
80/20,18,5.7,3.8,1.7,0.3,Setosa,Setosa,Setosa,Setosa
80/20,116,6.5,3.0,5.5,1.8,Virginica,Virginica,Virginica,Virginica
80/20,28,5.2,3.4,1.4,0.2,Setosa,Setosa,Setosa,Setosa
