modelo,indice_original,clase_real,clase_predicha,probabilidad_clase_0,probabilidad_clase_1,probabilidad_clase_2
mlp,66,1,1,0.011331333555619928,0.9867012263333428,0.0019674401110372757
mlp,134,2,2,0.014537802040314652,0.11722050621143405,0.8682416917482513
mlp,93,1,1,0.002679904838006631,0.9948527997892942,0.0024672953726991628
mlp,100,1,1,0.0026961579007244297,0.9948385426450006,0.002465299454275037
mlp,173,2,2,0.011337698191467457,0.011995930304456778,0.9766663715040759
mlp,60,1,1,0.003228320669073841,0.9916908596056693,0.005080819725256637
mlp,129,1,1,0.0023482314009029333,0.9911089303190009,0.006542838280095916
mlp,84,1,1,0.0028051586490153396,0.994374742884317,0.0028200984666675913
mlp,20,0,0,0.991957065720823,0.00487898734094846,0.003163946938228558
mlp,132,2,2,0.009181347342295513,0.02581788782474084,0.9650007648329637
mlp,51,0,0,0.9922516662224105,0.004387727079105909,0.0033606066984836996
mlp,46,0,0,0.992266892680394,0.00418794345720425,0.0035451638624016905
mlp,48,0,0,0.9916056702527842,0.0045684958586423,0.003825833888573626
mlp,10,0,0,0.9923389548255919,0.0042315530514764705,0.003429492122931783
mlp,92,1,1,0.0019338558037557557,0.9940358441461085,0.00403030005013577
mlp,128,1,1,0.0021000516334564122,0.994973627246422,0.0029263211201215325
mlp,42,0,0,0.99187285562275,0.004112054364181078,0.004015090013069018
mlp,166,2,2,0.009291246337719813,0.012210299707792078,0.9784984539544881
mlp,39,0,0,0.9917875597883042,0.004118054957651087,0.004094385254044565
mlp,108,1,1,0.0021955851717213952,0.9950827912573691,0.0027216235709096293
mlp,105,1,1,0.0020420833955671776,0.994612332204549,0.003345584399883866
mlp,165,2,2,0.008638937695650085,0.014991955918586188,0.9763691063857637
mlp,28,0,0,0.9920569544034212,0.004651826167608116,0.0032912194289706695
